Experiment_name,SPI,NI,Treatment,Cell Line + Treatment,Cell Line,Origin,Mode,Density,pvalue,sliding_time_window_size,neighbors_dist_threshold
field13_crop-001_ROI#1_annotation_apop.csv,0.10647582475126553,0.25738396624472576,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.0,5,33
field13_crop-001_ROI#1_annotation_nec.csv,0.3726063829787234,0.1423948220064725,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,5,33
Field14-002_ROI#1_annotation_apop.csv,0.20466513746648143,0.24031007751937986,ApoptosisInColonies,MCF10A+field14-002_roi#1_annotation_apop.csv,MCF10A,field14_colony,Apoptosis,387,0.0,5,33
Field14-002_ROI#1_annotation_nec.csv,0.42763317927511557,0.21285140562248997,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,5,33
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,-1.2436548223350254,0.5531914893617021,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.754,5,33
7-20-23_10arednuclei_ROI#10_annotation_nec.csv,0.4153286882762799,0.2605633802816901,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_nec.csv,MCF10A,field11_colony,Necrosis,142,0.0,5,33
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_apop.csv,0.25046025774433683,0.15725806451612903,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_apop.csv,MCF10A,field14_two_colony,Apoptosis,248,0.0,5,33
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.5963185922667285,0.10086455331412104,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,5,33
field13_crop-001_ROI#1_annotation_mixed.csv,0.3887146786258606,0.1391941391941392,MixedColony,MCF10A+field13_crop-001_roi#1_annotation_mixed.csv,MCF10A,field13_colony,mixed,546,0.0,5,33
Field14-002_ROI#1_annotation_mixed.csv,0.37617640826196974,0.16588419405320814,MixedColony,MCF10A+field14-002_roi#1_annotation_mixed.csv,MCF10A,field14_colony,mixed,641,0.0,5,33
7-20-23_10arednuclei_ROI#10_annotation_mixed.csv,0.2370572207084469,0.21693121693121692,MixedColony,MCF10A+7-20-23_10arednuclei_roi#10_annotation_mixed.csv,MCF10A,field11_colony,mixed,200,0.0,5,33
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_mixed.csv,0.6220559173227072,0.11932773109243698,MixedColony,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_mixed.csv,MCF10A,field14_two_colony,mixed,596,0.0,5,33
purecolony3_sytox_based.csv,0.15296163880568175,0.22601010101010102,MixedColony,MCF10A+purecolony3_sytox_based.csv,MCF10A,pure_colony_3,Necrosis,818,0.0,5,33
purecolony_sytox_based.csv,0.20460201542164747,0.1511627906976744,MixedColony,MCF10A+purecolony_sytox_based.csv,MCF10A,pure_colony_1,Necrosis,930,0.0,5,33
purecolony2_sytox_based.csv,0.11875532394648483,0.1527777777777778,MixedColony,MCF10A+purecolony2_sytox_based.csv,MCF10A,pure_colony_2,Necrosis,975,0.0,5,33
mixcolony1.csv,0.47587341375528747,0.22255192878338279,MixedColony,MCF10A+mixcolony1.csv,MCF10A,mix_colony_1,mixed,337,0.0,5,33
mixcolony2_field13.csv,0.5559775727979743,0.15689981096408318,MixedColony,MCF10A+mixcolony2_field13.csv,MCF10A,mix_colony_2,mixed,529,0.0,5,33
mixcolony3.csv,0.09659090909090907,0.4951923076923077,MixedColony,MCF10A+mixcolony3.csv,MCF10A,mix_colony_3,mixed,208,0.0,5,33
20181227_MCF10A_SKT_xy1.csv,0.75,0.9757575757575757,MixedColony,MCF10A+TRAIL,MCF10A,skt_1,Apoptosis,165,0.001,5,33
20181227_MCF10A_SKT_xy2.csv,-inf,0.9928571428571429,MixedColony,MCF10A+TRAIL,MCF10A,skt_2,Apoptosis,140,0.27,5,33
20181227_MCF10A_SKT_xy3.csv,-inf,0.9952153110047847,MixedColony,MCF10A+TRAIL,MCF10A,skt_3,Apoptosis,209,0.334,5,33
20181227_MCF10A_SKT_xy4.csv,1.0,0.9894736842105263,MixedColony,MCF10A+TRAIL,MCF10A,skt_4,Apoptosis,190,0.0,5,33
20181227_MCF10A_SKT_xy5.csv,-2.5,0.9875,MixedColony,MCF10A+TRAIL,MCF10A,skt_5,Apoptosis,160,0.452,5,33
3-11-23_10ah2bmch_ml+zvad_fullmedia_puredeath1_sytox_based.csv,0.16482843137254907,0.17569193742478942,MixedColony,MCF10A+3-11-23_10ah2bmch_ml+zvad_fullmedia_puredeath1_sytox_based.csv,MCF10A,pure_death_1,Necrosis,831,0.0,5,33
3-11-23_10ah2bmch_ml+zvad_fullmedia_puredeath2_sytox_based.csv,0.26171839027534766,0.1391035548686244,MixedColony,MCF10A+3-11-23_10ah2bmch_ml+zvad_fullmedia_puredeath2_sytox_based.csv,MCF10A,pure_death_2,Necrosis,647,0.0,5,33
3-11-23_10ah2bmch_ml+zvad_fullmedia_puredeath3_sytox_based.csv,-0.030874785591766724,0.2608695652173913,MixedColony,MCF10A+3-11-23_10ah2bmch_ml+zvad_fullmedia_puredeath3_sytox_based.csv,MCF10A,pure_death_3,Necrosis,22,0.075,5,33
field13_crop-001_ROI#1_annotation_apop.csv,0.10258509767224235,0.2616033755274262,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.0,10,33
field13_crop-001_ROI#1_annotation_nec.csv,0.37048832271762205,0.1553398058252427,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,10,33
